,angebot_id,startdate,enddate,laufzeitw_geschl,laufzeitw_alle,oadr_strasse,oadr_koord_lon_epsg4326,oadr_koord_lat_epsg4326,oadr_koord_genauigkeit,oadr_ortsteil,oadr_ortsteil_qual,oadr_plz,oadr_gkz,oadr_ort,oadr_kkz,oadr_kreis,oadr_bl,nachfrageart,nutzungsart,objektart,objekttyp,objekttyp_grob,objekttyp_fein,kosten,kosten_je_flaeche,kstn_nebenkosten,kstn_heizung,kstn_miete_gesamt,flaeche,fl_wohnen,baujahr,etage,anz_zimmer,aus_balkon_terrasse_janein,aus_garten_janein,aus_garten_eigen_janein,aus_lift_janein,aus_heiz_system,aus_kueche_einbau_janein,anz_parken,aus_klassen,oeig_denkmal_janein,zust_klassen,aadr_gewerblich_janein,oadr_koord_distanz,oadr_koord_distanz_sort,kstn_nk_inkl_heizung,aus_bad_mit_fenster_janein,oeig_keller_janein,oeig_neubau_janein,zust_erstbezug_janein,etagen,aus_heiz_befeuerung,zust_renoviert_janein,fl_nutz,zust_neuwertig_janein,kstn_parken_platz_miete,zust_modernisierungsjahr,zust_saniert_janein,anzart_nachmieter_janein,aus_barrierefrei_janein,oeig_wbs_janein,zust_sanierungsbedarf_janein,kueche,lift,nk_inkl_heizung_qm
33,3546345874,2022-12-27,,,13.5,,8.22201,50.08939,500,Nordost,30.0,65195,6414000,Wiesbaden,6414,Wiesbaden,6,1,0,1,0,1,2,1620.0,18.0,250.0,150.0,1980.0,89.98,89.98,2022,0.0,2.0,True,True,,True,,True,1.0,1,False,2,True,1713,1963,True,,True,True,True,,,,4.0,True,110.0,,,,,,,1,1,4.45
34,3545944333,2022-12-23,,,14.0,Augustastr. 12,8.25011,50.07488,80,Lessingstraße,30.0,65189,6414000,Wiesbaden,6414,Wiesbaden,6,1,0,1,0,1,3,1850.0,19.89,280.0,,2130.0,93.0,93.0,2022,3.0,3.0,True,,,True,0.0,True,1.0,1,False,2,,880,920,True,True,True,True,True,5.0,,,,,125.0,,,,,,,1,1,3.01
35,3545527760,2022-12-20,2022-12-21,0.1,0.1,,8.25619,50.08368,350,Nordost,30.0,65189,6414000,Wiesbaden,6414,Wiesbaden,6,1,0,1,0,1,2,1445.0,20.01,255.0,,1700.0,72.23,72.23,2022,2.0,2.0,True,,,True,,,1.0,2,False,2,True,1089,1264,True,True,True,True,True,,0.0,,,,150.0,,,,True,,,0,1,3.53
36,3545523563,2022-12-20,2022-12-22,0.2,0.2,,8.25619,50.08368,350,Nordost,30.0,65189,6414000,Wiesbaden,6414,Wiesbaden,6,1,0,1,0,1,4,3480.0,20.14,600.0,,4080.0,172.79,172.79,2022,3.0,4.5,True,,,True,,,1.0,2,False,2,True,1089,1264,True,True,True,True,True,,0.0,,,,150.0,,,,True,,,0,1,3.47
37,3545459624,2022-12-20,2022-12-21,0.2,0.2,Robert-Schumann-Str. 5b,8.22461,50.0718,1,Camp Lindsey,30.0,65197,6414000,Wiesbaden,6414,Wiesbaden,6,1,0,1,0,1,2,327.1,6.6,99.1,137.9,564.1,49.56,49.56,2000,0.0,2.0,True,True,True,,0.0,,,2,,1,True,1572,1572,False,,True,,,4.0,,,,,,,,,,True,,0,0,4.78
38,3545573035,2022-12-19,,,14.6,,8.22201,50.08939,500,Nordost,30.0,65195,6414000,Wiesbaden,6414,Wiesbaden,6,1,0,1,0,1,3,1032.0,12.0,330.0,,1362.0,86.0,86.0,1997,0.0,3.0,True,True,False,True,0.0,True,1.0,3,,2,,1713,1963,True,,True,,,,0.0,True,,,80.0,,True,,,,,1,1,3.84
39,3545194567,2022-12-17,2023-01-18,4.6,4.6,Walkmühltalanlagen 16,8.2182,50.08999,1,Riederbergstraße,30.0,65195,6414000,Wiesbaden,6414,Wiesbaden,6,1,0,1,0,1,4,2200.0,14.86,500.0,,2700.0,148.0,148.0,2008,1.0,4.5,True,,,True,,True,1.0,1,False,2,True,1978,1978,True,,True,,,2.0,0.0,True,10.0,,100.0,2023.0,True,,True,,,1,1,3.38
40,3544753794,2022-12-14,2023-01-30,6.7,6.7,Rheinstr. 7,8.24671,50.07894,1,Lessingstraße,30.0,65185,6414000,Wiesbaden,6414,Wiesbaden,6,1,0,1,0,1,4,2150.0,18.53,550.0,,2700.0,116.0,116.0,2019,1.0,4.0,True,True,,True,,True,1.0,1,False,2,True,405,405,True,True,True,True,,5.0,0.0,,7.64,True,150.0,,,,True,,,1,1,4.74
41,3544724879,2022-12-14,2023-01-20,5.3,5.3,Kapellenstr. 13,8.2418,50.0889,1,Dambachtal,30.0,65193,6414000,Wiesbaden,6414,Wiesbaden,6,1,0,1,0,1,3,1120.0,12.44,300.0,,1420.0,90.0,90.0,2001,1.0,3.0,True,,,True,0.0,,1.0,3,False,2,True,917,917,True,True,True,,,3.0,0.0,,,,100.0,2022.0,True,,True,,,0,1,3.33
42,3544343873,2022-12-11,2022-12-11,0.1,0.1,Emser Str. 8,8.2344,50.08333,1,Bleichstraße,30.0,65195,6414000,Wiesbaden,6414,Wiesbaden,6,1,0,1,0,1,2,595.0,12.4,160.0,,755.0,48.0,48.0,1993,1.0,2.0,True,,,,,True,1.0,1,,2,True,602,602,True,,True,,,,,,,,55.0,,True,,,,,1,0,3.33
43,3543703055,2022-12-06,2022-12-14,1.2,1.2,Rheinstr. 86,8.2339,50.07716,1,Luxemburgplatz,30.0,65185,6414000,Wiesbaden,6414,Wiesbaden,6,1,0,1,0,1,2,760.0,10.41,160.0,90.0,1010.0,73.0,73.0,1999,3.0,2.5,True,,,True,,True,1.0,2,,1,True,682,682,False,,True,,,,,,,,,,,,,,,1,1,3.42
44,3543057190,2022-12-02,2023-01-02,4.5,4.5,,8.23787,50.07601,350,Mitte,30.0,65185,6414000,Wiesbaden,6414,Wiesbaden,6,1,0,1,0,1,4,1500.0,13.95,341.0,,1841.0,107.5,107.5,2019,4.0,4.0,,,,True,,,,1,False,2,True,586,761,False,,,True,,5.0,,,,,,,,,,,,0,1,3.17
45,3542557809,2022-11-29,2022-12-28,4.2,4.2,,8.23787,50.07601,350,Mitte,30.0,65185,6414000,Wiesbaden,6414,Wiesbaden,6,1,0,1,0,1,1,660.0,12.87,160.0,,820.0,51.3,51.3,2019,2.0,1.0,,,,True,,,,1,False,2,True,586,761,False,,True,True,,,,,,,,,,,,,,0,1,3.12
